a,b,c,d
-0.018397,0.99956,-0.023205,-7.194e-06
-0.79783,-0.028664,-0.6022,0.3
-0.6026,0.0074346,0.79801,-7.2856e-06
0,0,0,1
-0.018402,0.99956,-0.023201,-1.8348e-05
-0.89539,-0.026801,-0.44448,0.19419
-0.44491,0.012594,0.89549,-0.043715
0,0,0,1
-0.018405,0.99956,-0.023191,-3.0148e-05
-0.96215,-0.024014,-0.27147,0.11439
-0.27191,0.017316,0.96217,-0.067125
0,0,0,1
-0.018408,0.99956,-0.023182,-3.5025e-05
-0.96173,-0.011362,0.27376,-0.037794
0.27337,0.027334,0.96152,-0.063628
0,0,0,1
-0.018408,0.99956,-0.023178,-3.2704e-05
-0.89471,-0.0061211,0.4466,-0.17073
0.44627,0.028959,0.89443,-0.043861
0,0,0,1
-0.018402,0.99956,-0.023175,-8.1043e-06
-0.79692,-0.00066528,0.60408,-0.30001
0.6038,0.029585,0.79658,8.7058e-07
0,0,0,1
