-0.071004,0.99391,-0.084264,-0.00013701
-0.62185,-0.11016,-0.77535,1
-0.77991,-0.0026541,0.62588,-0.00013435
0,0,0,1
-0.071017,0.99391,-0.084251,-0.00011451
-0.69135,-0.10993,-0.71411,0.92675
-0.71902,0.0075336,0.69495,-0.090403
0,0,0,1
-0.071027,0.99391,-0.084247,-0.00010135
-0.7549,-0.10877,-0.64676,0.84501
-0.65199,0.01766,0.75802,-0.17257
0,0,0,1
-0.071036,0.99391,-0.084249,-9.5704e-05
-0.81195,-0.10668,-0.5739,0.75575
-0.57939,0.027639,0.81458,-0.2463
0,0,0,1
-0.071044,0.99391,-0.084258,-9.5739e-05
-0.86204,-0.10368,-0.49612,0.65991
-0.50184,0.037387,0.86415,-0.31125
0,0,0,1
-0.071052,0.99391,-0.084269,-9.9625e-05
-0.90474,-0.099788,-0.41411,0.55843
-0.41999,0.046819,0.90632,-0.36711
0,0,0,1
-0.071059,0.9939,-0.084283,-0.00010553
-0.93969,-0.095045,-0.32855,0.45225
-0.33456,0.055853,0.94072,-0.41353
0,0,0,1
-0.071065,0.9939,-0.084297,-0.00011163
-0.96659,-0.089484,-0.24019,0.34233
-0.24627,0.064412,0.96706,-0.45019
0,0,0,1
-0.07107,0.9939,-0.08431,-0.00011608
-0.98522,-0.083155,-0.14978,0.22959
-0.15588,0.072419,0.98512,-0.47674
0,0,0,1
-0.071072,0.9939,-0.084321,-0.00011706
-0.99541,-0.076108,-0.058093,0.11498
-0.064156,0.079805,0.99474,-0.49287
0,0,0,1
-0.07107,0.9939,-0.084328,-0.00011274
-0.99707,-0.068405,0.034092,-0.00054725
0.028116,0.086504,0.99585,-0.49822
0,0,0,1
-0.071063,0.9939,-0.084331,-0.00010198
-0.99021,-0.060109,0.12599,-0.11606
0.12015,0.092458,0.98844,-0.4926
0,0,0,1
-0.071052,0.9939,-0.08433,-8.6425e-05
-0.97487,-0.051296,0.21681,-0.23062
0.21116,0.097616,0.97256,-0.47623
0,0,0,1
-0.071039,0.9939,-0.084329,-6.8426e-05
-0.95118,-0.042042,0.30576,-0.34329
0.30035,0.10193,0.94837,-0.44945
0,0,0,1
-0.071024,0.9939,-0.084327,-5.0324e-05
-0.91936,-0.032432,0.39207,-0.45312
0.38694,0.10537,0.91606,-0.41263
0,0,0,1
-0.07101,0.9939,-0.084326,-3.4461e-05
-0.87971,-0.022552,0.47498,-0.55918
0.47019,0.10791,0.87595,-0.3661
0,0,0,1
-0.070999,0.99391,-0.084327,-2.3181e-05
-0.83257,-0.012489,0.55378,-0.66054
0.54935,0.10953,0.82838,-0.31022
0,0,0,1
-0.070994,0.99391,-0.084328,-1.8827e-05
-0.77838,-0.0023334,0.62779,-0.75624
0.62377,0.11021,0.7738,-0.24533
0,0,0,1
-0.070995,0.99391,-0.084331,-2.3743e-05
-0.71762,0.0078272,0.69639,-0.84535
0.69281,0.10996,0.71269,-0.17179
0,0,0,1
-0.071006,0.9939,-0.084333,-4.0271e-05
-0.65084,0.017905,0.75901,-0.92693
0.75589,0.10878,0.6456,-0.089942
0,0,0,1
-0.071029,0.9939,-0.084336,-7.0756e-05
-0.57861,0.027816,0.81513,-1.0001
0.8125,0.1067,0.57311,-0.00013171
0,0,0,1
